# Time-averaged data for fix 3
tstep t T P density a b c Etot Eke Epe Epair
2750 111000 129.71 125.302 1.18169 38.2883 38.2883 38.2883 -720.453 386.255 -1106.71 -1106.71
2775 111100 128.515 61.7224 1.17486 38.3623 38.3623 38.3623 -727.86 382.697 -1110.56 -1110.56
2800 111200 128.463 67.4494 1.17167 38.3971 38.3971 38.3971 -725.158 382.541 -1107.7 -1107.7
2825 111300 134.279 129.878 1.17188 38.3948 38.3948 38.3948 -701.908 399.86 -1101.77 -1101.77
2850 111400 134.19 145.901 1.1692 38.4242 38.4242 38.4242 -696.564 399.595 -1096.16 -1096.16
2875 111500 129.557 56.816 1.16223 38.5007 38.5007 38.5007 -714.717 385.798 -1100.52 -1100.52
2900 111600 129.378 -20.4204 1.16003 38.5251 38.5251 38.5251 -725.006 385.265 -1110.27 -1110.27
2925 111700 128.742 54.7174 1.17002 38.4151 38.4151 38.4151 -725.746 383.373 -1109.12 -1109.12
2950 111800 130.247 178.766 1.18474 38.2554 38.2554 38.2554 -720.092 387.853 -1107.94 -1107.94
2975 111900 132.817 217.993 1.19086 38.1897 38.1897 38.1897 -714.957 395.505 -1110.46 -1110.46
3000 112000 128.611 136.797 1.18509 38.2516 38.2516 38.2516 -732.737 382.983 -1115.72 -1115.72
3025 112100 122.343 75.2253 1.17529 38.3577 38.3577 38.3577 -745.114 364.316 -1109.43 -1109.43
3050 112200 131.369 17.3486 1.16911 38.4251 38.4251 38.4251 -725.231 391.193 -1116.42 -1116.42
3075 112300 131.857 50.614 1.17134 38.4007 38.4007 38.4007 -720.688 392.649 -1113.34 -1113.34
3100 112400 129.017 106.843 1.17836 38.3243 38.3243 38.3243 -726.014 384.19 -1110.2 -1110.2
3125 112500 126.679 150.103 1.18387 38.2648 38.2648 38.2648 -727.789 377.227 -1105.02 -1105.02
3150 112600 136.501 105.731 1.18474 38.2554 38.2554 38.2554 -710.403 406.476 -1116.88 -1116.88
3175 112700 131.156 131.384 1.18371 38.2665 38.2665 38.2665 -715.908 390.562 -1106.47 -1106.47
3200 112800 129.355 42.5633 1.18109 38.2947 38.2947 38.2947 -734.94 385.198 -1120.14 -1120.14
3225 112900 126.029 64.0866 1.1835 38.2688 38.2688 38.2688 -741.446 375.294 -1116.74 -1116.74
3250 113000 129.415 115.09 1.18929 38.2065 38.2065 38.2065 -729.779 385.376 -1115.15 -1115.15
3275 113100 135.644 85.2822 1.19376 38.1588 38.1588 38.1588 -725.771 403.926 -1129.7 -1129.7
3300 113200 130.021 120.376 1.19826 38.1109 38.1109 38.1109 -739.249 387.18 -1126.43 -1126.43
3325 113300 127.728 136.248 1.20053 38.087 38.087 38.087 -746.839 380.353 -1127.19 -1127.19
3350 113400 128.701 143.954 1.19884 38.1049 38.1049 38.1049 -741.325 383.25 -1124.58 -1124.58
3375 113500 132.231 169.943 1.19223 38.1751 38.1751 38.1751 -717.282 393.761 -1111.04 -1111.04
3400 113600 135.401 70.0846 1.18071 38.2988 38.2988 38.2988 -713.03 403.201 -1116.23 -1116.23
