# Time-averaged data for fix 3
tstep t T P Etot Eke Epe Epair
3225 12900 134.719 -112.756 -568.601 401.169 -969.77 -969.77
3250 13000 123.098 -80.8724 -591.416 366.565 -957.981 -957.981
3275 13100 126.775 -83.4385 -582.969 377.516 -960.485 -960.485
3300 13200 133.945 -49.09 -556.292 398.866 -955.158 -955.158
3325 13300 135.978 -49.448 -550.824 404.92 -955.745 -955.745
3350 13400 128.715 -85.4631 -575.855 383.292 -959.147 -959.147
3375 13500 122.208 -96.4916 -592.165 363.915 -956.08 -956.08
3400 13600 130.658 -117.634 -572.51 389.078 -961.588 -961.588
3425 13700 137.377 -128.836 -556.103 409.085 -965.188 -965.188
3450 13800 129.718 -129.71 -576.391 386.279 -962.67 -962.67
3475 13900 122.485 -116.099 -594.174 364.739 -958.913 -958.913
3500 14000 126.623 -64.8636 -574.688 377.063 -951.751 -951.751
3525 14100 139.29 -42.2037 -541.043 414.781 -955.824 -955.824
3550 14200 130.665 19.5058 -548.981 389.097 -938.077 -938.077
3575 14300 128.475 -39.7443 -568.034 382.577 -950.612 -950.612
3600 14400 128.951 -103.146 -579.37 383.993 -963.363 -963.363
3625 14500 128.562 -123.323 -583.716 382.836 -966.552 -966.552
3650 14600 129.509 -119.481 -580.206 385.656 -965.863 -965.863
3675 14700 128.886 -81.4627 -573.285 383.801 -957.085 -957.085
3700 14800 130.846 -45.8657 -562.065 389.637 -951.702 -951.702
3725 14900 131.911 -11.0915 -553.263 392.81 -946.072 -946.072
3750 15000 133.824 -41.2905 -556.874 398.504 -955.378 -955.378
3775 15100 128.16 -70.3736 -578.396 381.639 -960.035 -960.035
3800 15200 123.991 -70.852 -588.785 369.225 -958.009 -958.009
3825 15300 129.063 -42.0706 -568.84 384.327 -953.166 -953.166
3850 15400 136.472 -18.3545 -546.021 406.391 -952.411 -952.411
3875 15500 132.466 -12.3383 -554.84 394.463 -949.303 -949.303
3900 15600 127.475 -64.8148 -577.718 379.599 -957.317 -957.317
3925 15700 126.178 -100.8 -586.56 375.735 -962.295 -962.295
3950 15800 129.628 -98.5348 -575.969 386.01 -961.978 -961.978
3975 15900 131.216 -57.0905 -561.873 390.738 -952.612 -952.612
4000 16000 133.891 -59.5455 -555.438 398.704 -954.142 -954.142
4025 16100 129.999 -77.8308 -568.477 387.116 -955.593 -955.593
4050 16200 125.912 -87.6363 -580.461 374.944 -955.405 -955.405
4075 16300 127.8 -72.9471 -571.782 380.566 -952.348 -952.348
4100 16400 134.105 -60.2189 -551.941 399.341 -951.282 -951.282
4125 16500 133.806 -65.1788 -553.154 398.451 -951.605 -951.605
4150 16600 127.615 -92.5615 -574.652 380.015 -954.667 -954.667
4175 16700 125.927 -120.095 -584.741 374.988 -959.729 -959.729
4200 16800 129.01 -100.309 -572.776 384.169 -956.945 -956.945
4225 16900 135.272 -89.7064 -557.47 402.818 -960.289 -960.289
4250 17000 127.979 -35.8724 -564.833 381.099 -945.932 -945.932
4275 17100 129.534 -61.2046 -567.608 385.731 -953.339 -953.339
4300 17200 128.982 -44.3171 -564.619 384.088 -948.706 -948.706
4325 17300 132.111 -54.0314 -558.788 393.404 -952.192 -952.192
4350 17400 130.103 -48.2691 -561.467 387.424 -948.891 -948.891
4375 17500 129.439 -65.5672 -566.771 385.449 -952.219 -952.219
4400 17600 130.375 -88.7115 -569.488 388.233 -957.722 -957.722
4425 17700 128.186 -75.0348 -572.169 381.715 -953.884 -953.884
4450 17800 128.718 -44.9829 -564.986 383.301 -948.287 -948.287
4475 17900 134.709 -53.9389 -553.077 401.141 -954.218 -954.218
4500 18000 130.319 -51.7836 -563.253 388.068 -951.321 -951.321
4525 18100 127.799 -86.509 -576.973 380.565 -957.538 -957.538
4550 18200 127.744 -96.2278 -579.296 380.4 -959.696 -959.696
4575 18300 127.762 -41.8036 -567.34 380.452 -947.792 -947.792
4600 18400 137.446 -58.5807 -548.344 409.292 -957.636 -957.636
4625 18500 133.078 -82.8857 -566.246 396.284 -962.53 -962.53
4650 18600 122.01 -83.2336 -595.736 363.325 -959.061 -959.061
4675 18700 123.674 -58.1276 -585.415 368.281 -953.696 -953.696
4700 18800 137.209 -46.3126 -546.826 408.586 -955.413 -955.413
4725 18900 136.046 -29.2899 -543.919 405.122 -949.041 -949.041
4750 19000 128.661 -78.8071 -573.524 383.13 -956.653 -956.653
4775 19100 124.405 -122.083 -595.522 370.456 -965.978 -965.978
4800 19200 124.264 -74.8359 -586.248 370.037 -956.285 -956.285
4825 19300 134.502 -27.7616 -550.734 400.523 -951.258 -951.258
4850 19400 138.127 -13.098 -541.025 411.318 -952.344 -952.344
4875 19500 127.727 -23.7693 -571.692 380.35 -952.042 -952.042
4900 19600 122.094 -32.3603 -587.887 363.574 -951.461 -951.461
4925 19700 131.63 -51.1096 -566.66 391.97 -958.631 -958.631
4950 19800 136.401 -43.6363 -552.443 406.18 -958.623 -958.623
4975 19900 128.872 -31.7413 -569.379 383.76 -953.138 -953.138
5000 20000 127.862 -74.427 -582.696 380.75 -963.445 -963.445
5025 20100 127.703 -68.9347 -583.014 380.277 -963.291 -963.291
5050 20200 128.921 -22.4074 -571.08 383.906 -954.985 -954.985
5075 20300 133.991 -7.58479 -555.968 399.002 -954.97 -954.97
5100 20400 133.707 -31.3335 -562.163 398.156 -960.319 -960.319
5125 20500 126.607 -54.944 -583.904 377.015 -960.919 -960.919
5150 20600 128.175 -114.73 -592.49 381.683 -974.172 -974.172
5175 20700 126.595 -86.311 -588.818 376.978 -965.796 -965.796
5200 20800 130.796 -46.6295 -568.52 389.489 -958.009 -958.009
5225 20900 135 -28.7145 -553.156 402.008 -955.164 -955.164
5250 21000 132.266 -50.6534 -566.327 393.866 -960.193 -960.193
5275 21100 122.923 -26.8213 -585.89 366.043 -951.933 -951.933
5300 21200 129.594 -43.0647 -574.041 385.909 -959.95 -959.95
5325 21300 133.815 -21.7262 -557.508 398.48 -955.988 -955.988
5350 21400 131.397 -14.3335 -559.999 391.278 -951.277 -951.277
5375 21500 128.652 -43.8095 -570.857 383.103 -953.96 -953.96
5400 21600 129.251 -82.429 -575.558 384.888 -960.447 -960.447
5425 21700 128.973 -79.5514 -575.122 384.06 -959.182 -959.182
5450 21800 130.387 -65.3196 -569.363 388.269 -957.632 -957.632
5475 21900 132.342 -66.0344 -564.719 394.093 -958.811 -958.811
5500 22000 129.042 -57.434 -569.667 384.264 -953.931 -953.931
5525 22100 130.672 -93.3669 -573.67 389.119 -962.789 -962.789
5550 22200 129.497 -102.036 -578.65 385.621 -964.271 -964.271
5575 22300 127.831 -91.8894 -581.135 380.659 -961.794 -961.794
5600 22400 128.975 -66.4798 -572.46 384.066 -956.526 -956.526
5625 22500 134.95 -78.9847 -560.261 401.859 -962.121 -962.121
5650 22600 129.079 -60.5435 -570.075 384.375 -954.45 -954.45
5675 22700 127.409 -79.9646 -578.472 379.403 -957.875 -957.875
5700 22800 128.522 -68.1802 -572.128 382.716 -954.845 -954.845
5725 22900 132.455 -50.5467 -557.63 394.428 -952.058 -952.058
5750 23000 134.326 -66.0747 -556.951 400.001 -956.953 -956.953
5775 23100 128.986 -95.8125 -577.86 384.097 -961.957 -961.957
5800 23200 125.302 -107.914 -589.675 373.127 -962.802 -962.802
5825 23300 130.161 -114.136 -578.855 387.598 -966.452 -966.452
5850 23400 130.34 -64.2337 -567.043 388.13 -955.174 -955.174
5875 23500 129.56 -12.5926 -556.868 385.807 -942.675 -942.675
5900 23600 134.276 -21.5714 -545.644 399.85 -945.494 -945.494
5925 23700 131.772 -47.0513 -556.394 392.393 -948.788 -948.788
5950 23800 126.934 -72.8302 -574.896 377.988 -952.884 -952.884
5975 23900 127.519 -85.4695 -576.416 379.73 -956.146 -956.146
6000 24000 130.357 -56.9859 -562.803 388.182 -950.985 -950.985
6025 24100 132.964 -27.5847 -549.663 395.945 -945.608 -945.608
6050 24200 133.792 -55.1094 -555.277 398.409 -953.685 -953.685
6075 24300 127.939 -81.5558 -577.416 380.981 -958.398 -958.398
6100 24400 126.551 -82.0163 -580.958 376.848 -957.806 -957.806
6125 24500 133.89 -99.8104 -566.889 398.7 -965.59 -965.59
6150 24600 130.068 -54.5944 -567.061 387.321 -954.382 -954.382
6175 24700 125.957 -67.0855 -581.132 375.079 -956.211 -956.211
6200 24800 126.692 -107.43 -588.549 377.268 -965.817 -965.817
6225 24900 130.809 -97.8183 -577.336 389.528 -966.865 -966.865
6250 25000 131.451 -18.5596 -559.479 391.439 -950.919 -950.919
6275 25100 134.691 -17.0571 -552.561 401.086 -953.646 -953.646
6300 25200 124.352 -8.45366 -574.598 370.298 -944.896 -944.896
6325 25300 127.551 -94.3639 -583.661 379.825 -963.486 -963.486
6350 25400 128.907 -101.858 -578.539 383.862 -962.401 -962.401
6375 25500 130.077 -100.278 -573.84 387.347 -961.187 -961.187
6400 25600 129.617 -86.8558 -571.583 385.979 -957.561 -957.561
6425 25700 128.81 -56.9196 -566.746 383.574 -950.32 -950.32
6450 25800 137.733 -64.1567 -546.525 410.146 -956.672 -956.672
6475 25900 138.367 -31.8148 -537.949 412.033 -949.981 -949.981
6500 26000 129.053 -52.5802 -567.142 384.298 -951.44 -951.44
6525 26100 130.326 -89.0195 -573.489 388.09 -961.578 -961.578
6550 26200 126.998 -71.9755 -578.26 378.177 -956.437 -956.437
6575 26300 131.327 -74.8267 -567.26 391.07 -958.33 -958.33
6600 26400 136.698 -86.8079 -554.712 407.064 -961.777 -961.777
6625 26500 127.032 -91.4523 -578.194 378.279 -956.473 -956.473
6650 26600 126.081 -105.171 -583.148 375.447 -958.595 -958.595
6675 26700 128.188 -73.7141 -570.239 381.723 -951.962 -951.962
6700 26800 130.703 -46.0366 -557.167 389.213 -946.38 -946.38
6725 26900 131.048 -35.8655 -552.623 390.238 -942.861 -942.861
6750 27000 131.193 -60.7141 -557.716 390.671 -948.387 -948.387
6775 27100 123.098 -91.3046 -585.356 366.566 -951.922 -951.922
6800 27200 125.496 -96.5474 -580.345 373.707 -954.052 -954.052
6825 27300 130.601 -78.0879 -563.663 388.907 -952.569 -952.569
6850 27400 130.926 -57.1238 -559.513 389.875 -949.389 -949.389
6875 27500 131.674 -77.0691 -562.208 392.102 -954.31 -954.31
6900 27600 127.13 -122.52 -583.634 378.572 -962.206 -962.206
6925 27700 122.777 -113.186 -592.608 365.608 -958.215 -958.215
6950 27800 127.888 -92.2295 -576.528 380.828 -957.356 -957.356
6975 27900 129.069 -49.9622 -564.84 384.346 -949.186 -949.186
7000 28000 133.009 -47.7816 -557.061 396.077 -953.138 -953.138
7025 28100 130.191 -42.5374 -565.983 387.688 -953.671 -953.671
7050 28200 122.859 -37.4943 -586.28 365.853 -952.132 -952.132
7075 28300 127.701 -32.1757 -574.001 380.27 -954.271 -954.271
7100 28400 133.015 -15.7818 -557.464 396.096 -953.56 -953.56
7125 28500 129.192 4.38551 -562.713 384.713 -947.426 -947.426
7150 28600 131.149 -39.0558 -566.727 390.541 -957.268 -957.268
7175 28700 129.438 -95.9282 -582.378 385.444 -967.822 -967.822
7200 28800 123.023 -89.18 -594.841 366.34 -961.181 -961.181
7225 28900 130.846 -104.394 -578.056 389.636 -967.692 -967.692
7250 29000 130.494 -86.3302 -574.593 388.589 -963.181 -963.181
7275 29100 129.603 -77.76 -575.148 385.936 -961.084 -961.084
7300 29200 130.462 -78.0662 -572.374 388.494 -960.868 -960.868
7325 29300 133.622 -103.7 -569.571 397.904 -967.475 -967.475
7350 29400 128.199 -121.693 -586.916 381.754 -968.67 -968.67
7375 29500 124.472 -118.6 -594.87 370.657 -965.527 -965.527
7400 29600 130.755 -107.832 -575.882 389.366 -965.249 -965.249
7425 29700 131.766 -84.7261 -567.202 392.377 -959.579 -959.579
7450 29800 130.396 -88.5523 -571.073 388.298 -959.371 -959.371
7475 29900 130.329 -107.969 -575.646 388.098 -963.744 -963.744
7500 30000 126.88 -105.624 -584.445 377.827 -962.273 -962.273
7525 30100 120.993 -107.768 -600.623 360.296 -960.919 -960.919
